Episode,Steps,Foods,C1,C2,Eat,Actor,Alpha,Reward,EatEps,PRBBeta,Stuck,OnFoodWaitMax
86,15,0,0.0,0.0,0.0,0.0,0.20000000298023224,-100.14999999999999,0.02,0.4,15,0
87,30,2,0.0,0.0,0.0,0.0,0.20000000298023224,-91.42,0.02,0.4,30,1
88,29,2,0.0,0.0,0.0,0.0,0.20000000298023224,-108.43999999999998,0.02,0.4,29,1
89,15,1,0.0,0.0,0.0,0.0,0.20000000298023224,-90.14999999999999,0.02,0.4,15,0
90,26,2,0.0,0.0,0.0,0.0,0.20000000298023224,-89.25999999999999,0.02,0.4,26,1
91,32,0,0.0,0.0,0.0,0.0,0.20000000298023224,-111.46999999999998,0.02,0.4,32,0
92,33,3,0.0,0.0,0.0,0.0,0.20000000298023224,-84.13999999999999,0.02,0.4,33,2
93,30,1,0.0,0.0,0.0,0.0,0.20000000298023224,-109.29999999999998,0.02,0.4,30,1
94,29,1,0.0,0.0,0.0,0.0,0.20000000298023224,-91.09,0.02,0.4,29,0
95,22,1,0.0,0.0,0.0,0.0,0.20000000298023224,-92.12,0.02,0.4,22,0
96,18,2,0.0,0.0,0.0,0.0,0.20000000298023224,-89.32999999999998,0.02,0.4,18,1
97,9,0,0.0,0.0,0.0,0.0,0.20000000298023224,-100.09,0.02,0.4,9,0
98,29,2,0.0,0.0,0.0,0.0,0.20000000298023224,-99.84,0.02,0.4,29,1
99,30,1,0.0,0.0,0.0,0.0,0.20000000298023224,-99.65,0.02,0.4,30,1
100,42,3,0.0,0.0,0.0,0.0,0.20000000298023224,-70.72,0.02,0.4,42,0
101,17,0,0.0,0.0,0.0,0.0,0.20000000298023224,-100.16999999999999,0.02,0.4,17,0
102,15,1,0.0,0.0,0.0,0.0,0.20000000298023224,-91.24000000000001,0.02,0.4,15,1
103,24,1,0.0,0.0,0.0,0.0,0.20000000298023224,-99.84,0.02,0.4,24,1
104,20,2,0.0,0.0,0.0,0.0,0.20000000298023224,-83.46,0.02,0.4,20,1
105,18,1,0.0,0.0,0.0,0.0,0.20000000298023224,-99.33,0.02,0.4,18,1
106,14,1,0.0,0.0,0.0,0.0,0.20000000298023224,-99.13999999999999,0.02,0.4,14,1
107,27,1,0.0,0.0,0.0,0.0,0.20000000298023224,-100.32,0.02,0.4,27,1
108,21,2,0.0,0.0,0.0,0.0,0.20000000298023224,-81.9,0.02,0.4,21,1
109,15,0,0.0,0.0,0.0,0.0,0.20000000298023224,-100.14999999999999,0.02,0.4,15,0
110,24,1,0.0,0.0,0.0,0.0,0.20000000298023224,-91.41,0.02,0.4,24,1
111,30,4,0.0,0.0,0.0,0.0,0.20000000298023224,-79.30000000000001,0.02,0.4,30,1
112,9,0,0.0,0.0,0.0,0.0,0.20000000298023224,-100.09,0.02,0.4,9,0
113,23,0,0.0,0.0,0.0,0.0,0.20000000298023224,-111.92999999999999,0.02,0.4,23,0
114,12,0,0.0,0.0,0.0,0.0,0.20000000298023224,-100.11999999999998,0.02,0.4,12,0
115,34,3,0.0,0.0,0.0,0.0,0.20000000298023224,-100.48999999999998,0.02,0.4,34,1
116,33,2,157.31618118286133,160.0850315093994,0.0,0.04506313952151686,0.19976012408733368,-95.07999999999998,0.02,0.4004,33,3
117,39,2,264.1244948949569,266.7575397980519,0.0,0.5718604450424513,0.19741857051849365,-80.69,0.02,0.40429999999999955,39,0
118,27,2,233.34432022659868,234.58660380045572,0.0,1.6787163372393008,0.19583043456077576,-101.66999999999999,0.02,0.40699999999999925,27,1
119,45,4,216.70324978298612,217.1904997083876,0.0,3.6250335905287,0.1933206170797348,-83.75,0.02,0.41149999999999876,45,1
120,34,4,203.74609980863684,203.45393955006318,0.0,5.8735628829282875,0.19161155819892883,-88.32,0.02,0.4148999999999984,34,1
121,24,3,166.2078301111857,165.778346379598,0.0,6.579035798708598,0.19048212468624115,-88.38999999999999,0.02,0.4172999999999981,24,1
122,27,1,155.51605224609375,155.3458989461263,0.0,6.2250813731440795,0.1892520934343338,-99.46999999999998,0.02,0.4199999999999978,27,1
123,27,2,172.47925906711154,172.0220184326172,0.0,6.1893064534222635,0.18803656101226807,-89.57,0.02,0.4226999999999975,27,1
124,58,4,156.93794421491953,156.72966279654668,0.0,6.557306281451521,0.18561379611492157,-71.75999999999999,0.02,0.4284999999999969,58,1
125,203,19,133.91469769407377,133.90603979702652,0.0,7.157314338120334,0.17866048216819763,115.5,0.02,0.44879999999999465,203,2
126,100,13,106.99185604095459,107.19095954895019,0.0,7.746985812187194,0.1759457290172577,-40.15000000000003,0.02,0.45879999999999355,100,1
